username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
BursaTV,@bursatvcomtr,2021-08-12T09:24:36.000Z,"Köyceğiz'de 15 bin hektar alan yandı, evlere dönüş başladı https://tinyurl.com/yjj7wdcs

#bursa #bursahaberleri #sondakika #gündem #perşembe",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'perşembe']"
BursaTV,@bursatvcomtr,2021-08-13T11:55:24.000Z,"Harran Kaymakamı'ndan kaçak yapı tepkisi https://tinyurl.com/yf77uf6z

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T08:51:27.000Z,"Otomobil şarampole devrildi; ağabey öldü, 2 kardeşi yaralı https://tinyurl.com/ygzlqeu5

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T06:14:26.000Z,"Afet bölgeleri için AFAD koordinasyonunda yardım kampanyası https://tinyurl.com/yzwznlg2

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T13:53:03.000Z,"Rusya’da eğitim alan Anıl Koçer, Bursa'da baba mesleğini devraldı https://tinyurl.com/yjjd7ewq

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T12:33:53.000Z,"Bolvadin'de korkutan yarıklar https://tinyurl.com/yecdxfln

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T13:48:20.000Z,"İTÜ orman yangınlarının bıraktığı hasarı uydudan tespit etti https://tinyurl.com/yh9vs4bu

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T12:59:07.000Z,"'Ateş kahramanları'ndan SMA hastası Alp bebeğe destek https://tinyurl.com/yf2afpcj

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T13:33:28.000Z,"D-100'ü kilitleyen zincirleme kaza https://tinyurl.com/yen9mrjg

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T12:28:11.000Z,"Bakan Koca: En az bir doz aşı yaptıranların oranı %70’i geçti https://tinyurl.com/yg83658k

#bursa #bursahaberleri #sondakika #gündem #cuma #sağlık",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma', 'sağlık']"
BursaTV,@bursatvcomtr,2021-08-13T11:29:23.000Z,"Çocuk parkında pitbulların saldırısında yaralandı https://tinyurl.com/yefxp7v6

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T11:04:07.000Z,"Erdoğan: Mağduriyetleri süratle gidermenin gayretinde olacağız https://tinyurl.com/yeagmhd6

#bursa #bursahaberleri #sondakika #gündem #cuma #politika",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma', 'politika']"
BursaTV,@bursatvcomtr,2021-08-13T11:53:49.000Z,"Bursa'da yanan 36 hektarlık alan yeniden ağaçlandırıldı; bölge havadan görüntülendi https://tinyurl.com/yzj9lmsd

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T11:11:06.000Z,"Koronavirüse yakalandı, 'Aşı olmadığım için çok pişmanım' dedi https://tinyurl.com/yzjtugsm

#bursa #bursahaberleri #sondakika #gündem #cuma #sağlık",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma', 'sağlık']"
BursaTV,@bursatvcomtr,2021-08-13T12:39:23.000Z,"İslahiye’de 58 evde 222 kişi karantinaya alındı https://tinyurl.com/yfgtjqbe

#bursa #bursahaberleri #sondakika #gündem #cuma #sağlık",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma', 'sağlık']"
BursaTV,@bursatvcomtr,2021-08-13T12:17:03.000Z,"Bursa'da alev kahramanları alkışlarla karşılandı https://tinyurl.com/yjwe46l2

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T11:00:50.000Z,"Motosikletli Kaan'ın ölümüne neden olan alkollü sürücü tutuklandı https://tinyurl.com/yebz9428

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T08:37:07.000Z,"Prof. Dr. İsmail Cinel:  En geç 20 gün içinde aşılılara pozitif ayrımcılık gelmeli https://tinyurl.com/yeqjnhdz

#bursa #bursahaberleri #sondakika #gündem #cuma #sağlık",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma', 'sağlık']"
BursaTV,@bursatvcomtr,2021-08-13T06:19:53.000Z,"Atatürk'e ait baston açık artırmaya çıkarılıyor https://tinyurl.com/ygj2wtze

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T09:47:45.000Z,"İletişim Başkanı Altun: Bartın, Kastamonu ve Sinop'ta 1720 kişi tahliye edildi https://tinyurl.com/yf4n959y

#bursa #bursahaberleri #sondakika #gündem #cuma #politika",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma', 'politika']"
BursaTV,@bursatvcomtr,2021-08-13T06:07:34.000Z,"Bursa'da ayın vatandaşları ödüllendirildi https://tinyurl.com/yetbnr7j

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
BursaTV,@bursatvcomtr,2021-08-13T06:17:06.000Z,"Bursa'da palet fabrikasındaki yangın korkuttu https://tinyurl.com/yfmwaqpx

#bursa #bursahaberleri #sondakika #gündem #cuma",,,,,"['bursa', 'bursahaberleri', 'sondakika', 'gündem', 'cuma']"
