username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
sankouniversitesi,@sankouniversite,2021-07-26T07:00:15.000Z,"Herkese güzel bir hafta dileriz.
#sankoüniversitesi #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #hemşirelikbölümü #fizyoterapiverehabilitasyonbölümü #beslenmevediyetetikbölümü #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu",,,1,7,"['sankoüniversitesi', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'hemşirelikbölümü', 'fizyoterapiverehabilitasyonbölümü', 'beslenmevediyetetikbölümü', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu']"
Eskişehir Teknik Üniversitesi,@esteknikuniv,2020-08-21T08:15:49.000Z,"#estü
#eskişehirtekniküniversitesi
#lisansüstüeğitimenstitüsü 
#başvuru
#innovationforfuture 
#birliktegüzel",,,,3,"['estü', 'eskişehirtekniküniversitesi', 'lisansüstüeğitimenstitüsü', 'başvuru', 'innovationforfuture', 'birliktegüzel']"
Mimarlık Bölümü | Yaşar Üniversitesi,@Yasar_Mimarlik,2021-07-27T07:38:18.000Z,"#LisansüstüEğitimEnstitüsü bünyesinden bulunan tüm yüksek lisans programları, programların kabul koşulları ve adayların öğrenmek istedikleri tüm soruları yanıtlamak amacıyla, Lisansüstü Eğitim Enstitüsü Müdür Yardımcıları Doç. Dr. Zeynep Tuna Ultav ve +",Lisansüstü Eğitim Enstitüsü | Yaşar Üniversitesi,1,1,3,['LisansüstüEğitimEnstitüsü']
Deniz Kanca Demirci,@KancaDeniz,2020-07-12T16:22:37.000Z,#haliçüniversitesi #lisansüstüeğitimenstitüsü,,,,,"['haliçüniversitesi', 'lisansüstüeğitimenstitüsü']"
Lisansüstü Eğitim Enstitüsü,@KTOKaratayLEE,2021-07-27T13:47:40.000Z,"KTO Karatay Üniversitesi Lisansüstü Eğitim Enstitüsü
1Soru1Cevap
#KTOKaratayÜniversitesi #TheSchoolForGraduateStudies #LisansüstüEğitimEnstitüsü #Master #1soru1cevap #eğitim #education",,,3,8,"['KTOKaratayÜniversitesi', 'TheSchoolForGraduateStudies', 'LisansüstüEğitimEnstitüsü', 'Master', '1soru1cevap', 'eğitim', 'education']"
Iğdır Üniversitesi,@igdir_uni,2021-07-27T16:46:48.000Z," Üniversitemiz Lisansüstü Eğitim Enstitüsüne 2021-2022 Eğitim-Öğretim Yılı Güz Yarıyılında Yüksek Lisans ve Doktora Öğrencisi Alınacaktır.
@Igdiruniversitesi 
@YuksekogretimK
 #LisansüstüEğitimEnstitüsü",,1,2,18,['LisansüstüEğitimEnstitüsü']
Göktan Ay,@drgoktanay,2020-03-04T06:17:07.000Z,"Yeni düzenleme ile Sağlık B.E, F.B.E, Sosyal B.E kapatılıyor ve hepsi #LisansüstüEğitimEnstitüsü'ne,Sağlık Y.O'ları da  Sağlık Bilimleri Fakültesi'ne çevriliyor. Anlayamadığımız, neden parça parça yapılıyor? 
Üniversiteler için ""tek yönetmelikle"" halledilemez mi?","Dr. Vahdet ÖZKOÇAK
@VahdetOzkocak
 · Mar 4, 2020
@tcbestepe kararı ile 11 Fakülte,Enstitü ve Yüksekokul kapatıldı,4 Fakülte ve Enstitü kuruldu. 
Resmî gazetede yayımlanan karar ektedir. https://pic.twitter.com/DMpnqCbQwY",,1,,['LisansüstüEğitimEnstitüsü']
sankouniversitesi,@sankouniversite,2021-08-09T07:06:33.000Z,"Rektörümüz Prof. Dr. Güner DAĞLI aday öğrencilere üniversitemizi anlatıyor.
https://youtu.be/IcA_KQl_pEo
#sankouniversitesi #sanko #üniversite #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu #adayöğrenci","Prof. Dr. Güner DAĞLI - SANKO Üniversitesi Rektörü
Rektörümüz Prof. Dr. Güner DAĞLI aday öğrencilere üniversitemizi anlatıyor.Akademik birimlerimizle ilgili detaylı bilgi almak için 0342 211 65 00 numaralı ...
youtube.com",,3,8,"['sankouniversitesi', 'sanko', 'üniversite', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu', 'adayöğrenci']"
sankouniversitesi,@sankouniversite,2021-07-23T14:13:00.000Z,"Herkese güzel bir hafta sonu dileriz.
#sankoüniversitesi #sankoüniversite #sanko #üniversite #sankoüniversitesi #sanko #eğitim #sağlık #tıpfakültesi #sağlıkbilimlerifakültesi #lisansüstüeğitimenstitüsü #sağlıkhizmetlerimeslekyükseokulu",,,1,7,"['sankoüniversitesi', 'sankoüniversite', 'sanko', 'üniversite', 'sankoüniversitesi', 'sanko', 'eğitim', 'sağlık', 'tıpfakültesi', 'sağlıkbilimlerifakültesi', 'lisansüstüeğitimenstitüsü', 'sağlıkhizmetlerimeslekyükseokulu']"
İzmir Bakırçay Üniversitesi,@bakircayedu,2020-09-02T10:09:39.000Z,"İzmir Bakırçay Üniversitesi, alanında uzman akademik kadrosu ile sizleri Sosyoloji Doktora Programına bekliyor. Başvuru için son tarih 11 Eylül!
Detaylı bilgi için http://enstitu.bakircay.edu.tr adresimizi ziyaret edebilirsiniz.
#izmirbakırçayüniversitesi #lisansüstüeğitimenstitüsü",,1,1,9,"['izmirbakırçayüniversitesi', 'lisansüstüeğitimenstitüsü']"
Lisansüstü Eğitim Enstitüsü,@KTOKaratayLEE,2021-08-10T06:48:05.000Z,"KTO Karatay Üniversitesi Lisansüstü Eğitim Enstitüsü
1Soru1Cevap

#KTOKaratayÜniversitesi #TheSchoolForGraduateStudies #LisansüstüEğitimEnstitüsü #Master #1soru1cevap #eğitim #education",,,3,3,"['KTOKaratayÜniversitesi', 'TheSchoolForGraduateStudies', 'LisansüstüEğitimEnstitüsü', 'Master', '1soru1cevap', 'eğitim', 'education']"
