username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Kedi Kitty,@kedi_sofa,2021-08-08T01:29:58.000Z,"Update by mummy

Kedi is having rest. She poo poo-ed well. I congratulated her after  on the carpet and the bed. She had her dinner, her pill and even a petit treat. 

She listened when I read her your lovely support messages

She feels now very sleepy. It was a long day

#Kedi",,127,80,1.6K,['Kedi']
Kedi Kitty,@kedi_sofa,2021-08-07T19:40:21.000Z,"Erratum: The hospital is Veterinaty Hospital Centre Ville Montreal. If you are downtown Montreal, they have great team and cheaper than some other ones

It might help other pet parent

#Kedi",,4,20,230,['Kedi']
iamsakethecat,@iamsakethecat,2021-08-07T05:22:57.000Z,"Relax .. 

#scottishfold #cats #cat #bicolor #britishshorthair #scottishstraight #catlover #kitten #catlovers #kittens #meow #scottishfoldlovers #catoftheday #love #kedi #scottishfoldcat #kitty #Sake #Sakethecat #catlife #pet #cute #scottishfoldkittens #fold",,,4,10,"['scottishfold', 'cats', 'cat', 'bicolor', 'britishshorthair', 'scottishstraight', 'catlover', 'kitten', 'catlovers', 'kittens', 'meow', 'scottishfoldlovers', 'catoftheday', 'love', 'kedi', 'scottishfoldcat', 'kitty', 'Sake', 'Sakethecat', 'catlife', 'pet', 'cute', 'scottishfoldkittens', 'fold']"
Kedi Kitty,@kedi_sofa,2021-08-12T23:16:01.000Z,"It's daddy's birthday 

He got his presents but I took the petit ribbon 

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme",,62,43,769,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
Kedi Kitty,@kedi_sofa,2021-08-07T19:59:50.000Z,"As 2 vets from different places told mummy she was doing everything perfect for petit me with mega colon, she reposts this thread

It is a difficult condition and we hope it helps someone 

#Kedi","Kedi Kitty
@kedi_sofa
 · Jul 30
Poo poo  thread

I had a severe constipation in April and today mummy received the news my blood results are excellent and I am in good health

Here is mummy's learning experience to help other parents facing this issue
Show this thread",19,24,346,['Kedi']
Kedi Kitty,@kedi_sofa,2021-08-13T11:31:29.000Z,"After playing, mummy likes to play petit birdies video so I can relax

Do you have favorite videos you can recommend?

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme",,14,15,281,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
Kedi Kitty,@kedi_sofa,2021-08-07T14:52:45.000Z,"I am at the vet emergency. Please pray for petit me

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme #pawcircle",,321,185,3K,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme', 'pawcircle']"
Kedi Kitty,@kedi_sofa,2021-08-13T15:58:53.000Z,"Petit me: Mummy, stop mummy-ing me, I am a ferocious tiger 

Mummy: Sure, my petit baby d'amour  

Petit me: Why are you unable to see I am a ferocious tiger? 

Also petit me: 

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme",,7,8,141,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
Kedi Kitty,@kedi_sofa,2021-08-08T18:02:19.000Z,"There must be something to do to open the treat bag and have treats open bar

What are your strategies to have petit treats?

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme",,42,36,611,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
Kedi Kitty,@kedi_sofa,2021-08-08T17:02:35.000Z,"We won't leave Twitter as we love too many people here. I am nanaphoning my pet siblings so they also spread the word 

Kedi Nanaphone Line in on

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme","Kedi Kitty
@kedi_sofa
 · Aug 8
One account uses my picture to promote hate speech and write threat message. It started the same process with other pet accounts (nice tweet first). Twitter has not shut it down

I am very hurt and upset. My image cannot be used for hate speech. Should we stay on Twitter?
Show this thread",37,17,390,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
Kedi Kitty,@kedi_sofa,2021-08-07T16:13:45.000Z,"The vet is examining petit me. Mummy and daddy are waiting

Please pray for petit me 

#Kedi",,127,60,1.2K,['Kedi']
Kedi Kitty,@kedi_sofa,2021-08-06T11:32:33.000Z,"I give love bites to mummy. Those are not painful, this is a petit game between us when I want to show affection or tell her I had enough petting

Mummy believes I would eat her if I was a big tiger. I think I would rather eat those who want to attack her. I love my mummy

#Kedi",,41,40,903,['Kedi']
Kedi Kitty,@kedi_sofa,2021-08-08T18:27:58.000Z,"For those who were not here this winter, that is how I took the treats before I had my constipation issue and the vet said ""no Temptations for Kedi""

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme",,7,10,160,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
Bhutu and Theo,@AndBhutu,2021-08-07T08:33:14.000Z,"Replying to 
@kedi_sofa",Sending you hugs dear #Kedi. #pawcircle ,1,,5,[]
Kedi Kitty,@kedi_sofa,2021-08-08T18:19:23.000Z,"Mummy, I will keep your pepito until you give petit me treats

This is not negotiable 

#Kedi #kitties #kittycat #CuteCats #CalicoCrew #petitme","Kedi Kitty
@kedi_sofa
 · Aug 8
There must be something to do to open the treat bag and have treats open bar

What are your strategies to have petit treats?",6,15,218,"['Kedi', 'kitties', 'kittycat', 'CuteCats', 'CalicoCrew', 'petitme']"
