username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Yasin Yaman,@ysnyaman,2021-08-10T17:12:27.000Z,"Butterfly 

#istanbul #galata #beyoğlu",,,,12,"['istanbul', 'galata', 'beyoğlu']"
JJ.IrishPub.Turkey,@jj_irishpub_tr,2021-08-06T12:08:37.000Z,"All Ireland Hurling:
Kilkenny vs Cork
8 August 2021 @ 17:30
#beyoglu #balosokak #antalya #konyaalti #roof #jj_irishpub_tr  #football #rugby #darts  #Premier_League #irishpub #jamesjoyce #match #game #greatfood #greatdrinks #livemusic",,,1,,"['beyoglu', 'balosokak', 'antalya', 'konyaalti', 'roof', 'jj_irishpub_tr', 'football', 'rugby', 'darts', 'Premier_League', 'irishpub', 'jamesjoyce', 'match', 'game', 'greatfood', 'greatdrinks', 'livemusic']"
Adamar Hotel,@AdamarHotel,2021-08-10T11:15:18.000Z,"With so much to see in Istanbul during your trip,do not forget to visit Galata Tower located in Bereketzade Beyoglu

#galatatower #galatatoweristanbul #galatakulesi #beyoglu #galata #medieval #tower #istanbul #estambul #visitistanbul #holiday #travelgram #explore #city #turkiye",,,,1,"['galatatower', 'galatatoweristanbul', 'galatakulesi', 'beyoglu', 'galata', 'medieval', 'tower', 'istanbul', 'estambul', 'visitistanbul', 'holiday', 'travelgram', 'explore', 'city', 'turkiye']"
walkonİSTANBUL,@walkonistanbul,2021-08-10T13:25:02.000Z,"Added to inventory today: 
Surp Krikor Lusavorich Armenian Church 
Details in Turkish.
#walkonİSTANBUL #DigitalGuide #Architecture #İstanbul #Beyoğlu
@walkonturkey
@walkonizmir
@walkonkarabuk","Surp Krikor Lusavoriç Kilisesi
Surp Krikor Lusavoriç Kilisesi, Ceneviz yönetimindeki Galata’da (Karaköy) Doğu Roma (Bizans) İmparatorluğu’nun başkenti (Konstantinopolis) İstanbul’da inşa edilmiş olan ve bilinen en eski Ermeni...
walkon.istanbul",,4,13,"['walkonİSTANBUL', 'DigitalGuide', 'Architecture', 'İstanbul', 'Beyoğlu']"
Aydan,@Aydan37811539,2021-08-13T14:41:52.000Z,êſčòrțſ    There is always room at the top. #beyoğlu #bahçelievler,"EDA
@RahimekzKoyuncu
 · 8h",,2,2,"['beyoğlu', 'bahçelievler']"
NotesFrom.NET,@NotesFromNET,2021-08-12T20:37:16.000Z,"Replying to 
@NotesFromNET","They managed to nab two drivers, including one who asked for $58 (TL 500) for a ride from #Taksim Square to #Şişli, a district only a few kilometers away. Another drive asked for 50 euros (TL 504) for even a shorter distance. Both were fined.",1,,,[]
NotesFrom.NET,@NotesFromNET,2021-08-12T20:37:17.000Z,"Officers were out for inspections on Tuesday in #Beyoğlu and #Eminönü, a district and a quarter of the city popular among tourists visiting landmarks, from the Grand Bazaar to Istiklal Avenue.",,1,,,"['Beyoğlu', 'Eminönü']"
Monica,@Monica70345906,2021-08-10T18:09:38.000Z,"Xxx
0534 333 46 59 sadece watsabdan #istanbul #beşiktaş #şişli #mecidiyeköy #nişantaşı #fatih #kağıthane #ortaköy #etiler #sariyer #kurtuluş #fulya #kasimpasa #beyoğlu #taksim #okmeydanı #levent #laleli #findikzade #çapa #bayrampaşa #gaziosmanpaşa #alibeyköy",,,,,"['istanbul', 'beşiktaş', 'şişli', 'mecidiyeköy', 'nişantaşı', 'fatih', 'kağıthane', 'ortaköy', 'etiler', 'sariyer', 'kurtuluş', 'fulya', 'kasimpasa', 'beyoğlu', 'taksim', 'okmeydanı', 'levent', 'laleli', 'findikzade', 'çapa', 'bayrampaşa', 'gaziosmanpaşa', 'alibeyköy']"
Eliz Mecidiyeköy Şişli Bakırköy êſčòrt,@Eliz90141139,2021-08-05T17:50:45.000Z,"WhatsAp 0538964.3034 
#Taksim 
#Mecidiyeköy 
#istanbul 
#bakırköy 
#şişli 
#bağcılar 
#beyoğlu 
#beşiktaş 
#bahçelievler 
#sefaköy 
#başakşehir",,,,,"['Taksim', 'Mecidiyeköy', 'istanbul', 'bakırköy', 'şişli', 'bağcılar', 'beyoğlu', 'beşiktaş', 'bahçelievler', 'sefaköy', 'başakşehir']"
Amir Jamal,@AmirJam02068196,2021-08-13T08:37:04.000Z,"Good afternoon who would like to join me for a movie+dinner+coffee 
#istanbul #Bakırköy #Başakşehir #sultanbeyli #Esenler #Güngören 
#Sarıyer
#Silivri
#sultangazi
#Besiktas
#Ataköy
#Avcılar
#Bayrampaşa
#Bağcılar #Bahçelievler
#Beylikdüzü
#Beyoğlu
#esenyurt
#Eyüpsultan #Fatih",,,,,"['istanbul', 'Bakırköy', 'Başakşehir', 'sultanbeyli', 'Esenler', 'Güngören', 'Sarıyer', 'Silivri', 'sultangazi', 'Besiktas', 'Ataköy', 'Avcılar', 'Bayrampaşa', 'Bağcılar', 'Bahçelievler', 'Beylikdüzü', 'Beyoğlu', 'esenyurt', 'Eyüpsultan', 'Fatih']"
HAYDAR ALİ YILDIZ,@haydaraliyildiz,2021-08-10T09:08:10.000Z,"Geleceğin başkanları, doktorları, futbolcuları #Beyoğlu'nda büyüyor.

Piyalepaşa",,4,62,147,['Beyoğlu']
HAYDAR ALİ YILDIZ,@haydaraliyildiz,2021-08-10T18:21:19.000Z,"Hep birlikte daha yeşil, daha güvenli ve daha huzurlu bir #Beyoğlu inşa edeceğiz.

Şehir yenileme projemiz için hak sahiplerini kentsel dönüşüm ofisimize bekliyoruz.",,1,65,159,['Beyoğlu']
HAYDAR ALİ YILDIZ,@haydaraliyildiz,2021-08-13T12:19:25.000Z,"Başladık ve alnımızın akıyla bitireceğiz hayırlısıyla.

Kentsel yenileme çalışmalarımız hak sahibi olan vatandaşlarımızın rızaları ile yapılıyor. Daha güzel bir #Beyoğlu için bu dönüşümü birlikte tamamlayacağız.","0:10
787 views",7,113,185,['Beyoğlu']
