username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Turkey-Axis,@TurkeyAxis,2021-08-06T21:31:49.000Z," Turkey's fresh fruit and vegetable export:

Fresh fruit and vegetable exports increased by 25% in the first half of this year.

The most important markets in the export of fresh fruits and vegetables: Europe and Russia.

#Türkiye #Turkey",,,9,46,"['Türkiye', 'Turkey']"
Turkey-Axis,@TurkeyAxis,2021-08-11T07:36:35.000Z," Turkey's defence industry exports increased by 9 times between 2002 and 2020

#Turkey #Türkiye",,,3,25,"['Turkey', 'Türkiye']"
Turkey-Axis,@TurkeyAxis,2021-08-10T06:47:14.000Z," Istanbul Airport is listed as the 'Most Developed Airport' in the  Best Airports of 2021 announced by the flight research service, Skytrax.

#Turkey #Türkiye #IstanbulAirport",,,9,65,"['Turkey', 'Türkiye', 'IstanbulAirport']"
Turkey-Axis,@TurkeyAxis,2021-08-11T17:54:30.000Z," Airports of Turkey carried 57.4 million passengers in the January-July period.

#Turkey #Türkiye",,,4,39,"['Turkey', 'Türkiye']"
Turkey-Axis,@TurkeyAxis,2021-08-12T09:24:14.000Z," Turkey's Higher Education Axis

#Turkey #Türkiye #HigherEducation",,,3,17,"['Turkey', 'Türkiye', 'HigherEducation']"
Islam Al Hmoud,@IslamAlhmoud,2021-08-09T11:50:56.000Z,"Please share 
 
#Ürdün #الاردن #تركيا #Türkiye",,2,69,13,"['Ürdün', 'الاردن', 'تركيا', 'Türkiye']"
sevda,@sevdaelms11,2021-08-10T10:36:54.000Z,"I vote #KeremBürsin from #Türkiye for
#mostinfluentialineveryqountry2021",,,,2,"['KeremBürsin', 'Türkiye', 'mostinfluentialineveryqountry2021']"
arem.live,@AremLive,2021-08-06T12:02:24.000Z,"Attend Reformative Education Module (AREM)

#türkiye #lgs  #lgs2022 #tyt #tyt2022 #ayt #ayt2022 #yds #yds2022 #kpss #kpss2022 #ales #ales2022 #onlineders #özelders #uzaktaneğitim #egitimbilimleri #egitimkoclugu #üniversite #dilkursu #dilöğreniyorum #aremlive",,,,,"['türkiye', 'lgs', 'lgs2022', 'tyt', 'tyt2022', 'ayt', 'ayt2022', 'yds', 'yds2022', 'kpss', 'kpss2022', 'ales', 'ales2022', 'onlineders', 'özelders', 'uzaktaneğitim', 'egitimbilimleri', 'egitimkoclugu', 'üniversite', 'dilkursu', 'dilöğreniyorum', 'aremlive']"
everythingturkish,@everythingturk1,2021-08-06T04:00:57.000Z,Amasya is in the southern part of Canik Mountains and is famous not only for its delicious apples but also its 8.500-year history. #amasya #canik#turkishfood #turkishfollowers #türkish #turkey #türk #turkish #türkiye #everythingturkish #fridayfeeling,,,,,"['amasya', 'canik', 'turkishfood', 'turkishfollowers', 'türkish', 'turkey', 'türk', 'turkish', 'türkiye', 'everythingturkish', 'fridayfeeling']"
Ali H. ÇELİK,@alihcelik,2021-08-07T09:39:34.000Z,"It's gold for #Türkiye 
We are all proud of you. 

#BuseNazSürmeneli",Busenaz Sürmeneli,,,9,"['Türkiye', 'BuseNazSürmeneli']"
YETE Müh.Dan. İç ve Dış tic,@YeteIc,2021-08-05T07:15:31.000Z,"We provide high quality soap  with best price and long term guarantee 
______________________
#türkiye #istanbul #yete #sabun #ticaret #soap #hijyen #hygiene #covid_19 #jordan #qatar #kuwait #unitedarabemirates #import #export #business #beauty #skincare #nature #organic",,,,,"['türkiye', 'istanbul', 'yete', 'sabun', 'ticaret', 'soap', 'hijyen', 'hygiene', 'covid_19', 'jordan', 'qatar', 'kuwait', 'unitedarabemirates', 'import', 'export', 'business', 'beauty', 'skincare', 'nature', 'organic']"
Malek Chaar,@MalekChaarTN,2021-08-05T09:09:02.000Z,"Should never give up .. 
Be strong.. to stand up for tomorrow..

#Türkiye",,,,1,['Türkiye']
skkrtt,@hhhashuu,2021-08-07T06:09:14.000Z,Waheguru please heal this as soon as possible !!  #TuerkiyeYAKILIYOR #turkiyeyaniyor #TurkeyBurning #TurkeyIsOnFire #turkeyneedshelp #tuerkiye,,,,,"['TuerkiyeYAKILIYOR', 'turkiyeyaniyor', 'TurkeyBurning', 'TurkeyIsOnFire', 'turkeyneedshelp', 'tuerkiye']"
Tarık Sinan KARA,@tariksinankara,2021-08-05T13:19:54.000Z,"#TÜRKİYE 
Faydee - Zamaan (Official Music Video) https://youtu.be/sqAL5Pv5IsU 
@YouTube","Faydee - Zamaan (Official Music Video)
ALL THINGS FAYDEE: https://linktr.ee/faydeeofficialLyrics: FaydeeMusic: JumpaMusic Video Appearance: Isadora (@isadoramusic)Special Thanks to The Grounds of ...
youtube.com",,,4,['TÜRKİYE']
Adamar Hotel,@AdamarHotel,2021-08-13T11:54:02.000Z,"Doesn’t it always feel good being home away from home? If you’re planning to vacation in Istanbul, Special Class Adamar Hotel will be your home away from home.

#family #familyrooms #hotelinistanbul #türkiye #turkiye #estambul #Sultanahmet #istanbulhotels #travel #hospitality #h",,,,,"['family', 'familyrooms', 'hotelinistanbul', 'türkiye', 'turkiye', 'estambul', 'Sultanahmet', 'istanbulhotels', 'travel', 'hospitality', 'h']"
Terror Alarm,@terror_alarm,2021-08-12T14:40:08.000Z,"#Türkiye:
While south of Turkey is burning by wildfires, the Northern cities are being hit by multiple Floods.",,2,12,16,['Türkiye']
