username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Adem,@adembuyukgokce,2021-08-13T05:23:15.000Z,"Bir kap su hayat kurtarır 

Lütfen, her kapının önüne bir kap su #birkapsu","0:22
63 views",1,9,20,['birkapsu']
kedi,@kediipatisi,2021-08-05T20:25:23.000Z,"Birkaç gündür Silivrideyim, hayvanlar inanılmaz aç ve susuz. Kapısının önüne bir kap su koyan yok. Su taşıdığım hayvanların çoğunun içi yanmış...yarım saat su içtiler. Çok üzgünüm. Lütfen kapınızın önüne #birkapsu koyun",,11,218,341,['birkapsu']
Ali Serçe,@AliSere20,2021-08-06T03:22:00.000Z,"Tatlım benim. 
#BirkapSU",,3,56,265,['BirkapSU']
SINIRSIZLAR_PATİ DOSTU,@SINIRSIZPatiler,2021-08-06T10:11:11.000Z,"#birkapsu hayat kurtarır, gölge yerlere su bırakalım, su kaplarını sık sık taze suyla dolduralım",,,35,44,['birkapsu']
Adem,@adembuyukgokce,2021-08-13T15:26:51.000Z,"Aç mısın? 

İşyerinde o'nu kimse istemiyor
Beni gördüğünde verdiği tepki bu 

Ahhh bir konuşabilse 
Bir anlatsa insanların ne kadar gaddar ve merhâmetsiz olduğunu 

#birkapsu #birkapmama",,3,12,18,"['birkapsu', 'birkapmama']"
Adem,@adembuyukgokce,2021-08-13T08:20:00.000Z,"Ağlama diyorsun
Nasıl????

Allah için yangın bölgelerine bir kap su bırakın 
Yüreğim kanıyor

#birkapsu",,,5,12,['birkapsu']
Ali Serçe,@AliSere20,2021-08-11T14:16:55.000Z,#BirKapSu,,,2,9,['BirKapSu']
BurcuCrazy Mohikan,@Burjuuu1907,2021-08-06T15:56:10.000Z,"Önce gözlerini kaçırdı....
Sonra aşkımız başladı 

#BirkapSU #BirKapMama 
#BirKapSuBirKapMama ",,1,5,49,"['BirkapSU', 'BirKapMama', 'BirKapSuBirKapMama']"
Gattara,@_gattara__,2021-08-08T10:23:49.000Z,"#dünyakedilergünü
#BirKapSu
#BirKapMama
#SokakHayvanlarınıUnutma",,,1,8,"['dünyakedilergünü', 'BirKapSu', 'BirKapMama', 'SokakHayvanlarınıUnutma']"
İYi Parti Sultangazi,@iyiSultangazi_,2021-08-06T09:17:07.000Z,"Merhamet herkese yakışır...
Lütfen,
hayvanlar için kapımıza, sokağa,bahçeye bir kap su koyalım. 
#birkapsu 
@iyipati_
@meral_aksener
@berna_sukas
 @OnsenArzu
@asyanikomeroglu","0:09
110 views",,2,8,['birkapsu']
Aysel Senguder,@AyselSenguder,2021-08-08T09:24:11.000Z,#birkapsu,"Monet
@aynursenguder
 · Aug 8
HER TARAF BETON VE ONLARIN SIĞINACAK TEK YERİ YİNE BETON GÖLGESİ... VE İNSANLARDAN DAHA ÇOK SICAĞI HİSSEDİYORLAR.. BİR KAP SU KOYMAYI UNUTMAYIN
#birkapsu",,,1,['birkapsu']
Adem,@adembuyukgokce,2021-08-07T06:25:24.000Z,"""Yarın Hak'kın divanına varınca,
Süleyman'dan hakkını alır karınca""

Sen bizlere merhâmet et Allah'ım

#Manisayanıyor 
#birkapsu 
#yagmur",,,2,30,"['Manisayanıyor', 'birkapsu', 'yagmur']"
Dünyalı Hasan,@07agena,2021-08-10T06:35:00.000Z,"Lütfen kapınızın önüne
#BirKapMama
#BirKapSu 
Bırakın",,,2,21,"['BirKapMama', 'BirKapSu']"
BurcuCrazy Mohikan,@Burjuuu1907,2021-08-12T04:40:24.000Z,"Ayyyy bana günaydın desenize

Günaydınlar Efenim 
ŞansınızTebessümünüz,Sevginiz,
AŞKınızBol Olsun 

#İyikiVarsınBurcu  
#12Ağustos #Persembe
#birkapmama  #birkapsu #BirKapSuBirKapMama ",,59,7,138,"['İyikiVarsınBurcu', '12Ağustos', 'Persembe', 'birkapmama', 'birkapsu', 'BirKapSuBirKapMama']"
Adem,@adembuyukgokce,2021-08-08T21:23:42.000Z,"Bir kap su vermek zor olmamalı 
Lütfen #birkapsu",,,18,58,['birkapsu']
Tuba,@tubabemol,2021-08-06T07:12:52.000Z,Güneş gelmeyen bir yere #birkapsu lütfen,,,,3,['birkapsu']
Koluman,@kolumanofficial,2021-08-07T12:00:55.000Z,"Havalar çok sıcak! Minik dostlarımız için kapınızın önüne bir kap su koymayı unutmayın.
#Koluman #sokakhayvanları #birkapsu",,,,3,"['Koluman', 'sokakhayvanları', 'birkapsu']"
Adem,@adembuyukgokce,2021-08-07T03:49:24.000Z,"Günaydın vefa......

#birkapsu
#Yanıyoruz",,5,24,65,"['birkapsu', 'Yanıyoruz']"
𝙋𝙚𝙡𝙞𝙣,@pelin_gzy,2021-08-07T11:40:47.000Z,"Tüm can severleri bekleriz ⚘
İnstagram @lanaannebali
.
.
#yangın #ilkyardım #acilyardım #hayvanlaryanıyor #hayvan #canlıyayın #birkapsu #birkapmama",,,,1,"['yangın', 'ilkyardım', 'acilyardım', 'hayvanlaryanıyor', 'hayvan', 'canlıyayın', 'birkapsu', 'birkapmama']"
Birsen Şenol,@BDSenol,2021-08-13T16:23:11.000Z,"#birkapsu 
#birkapmama","Adem
@adembuyukgokce
 · 1h
Aç mısın? 

İşyerinde o'nu kimse istemiyor
Beni gördüğünde verdiği tepki bu 

Ahhh bir konuşabilse 
Bir anlatsa insanların ne kadar gaddar ve merhâmetsiz olduğunu 

#birkapsu #birkapmama
0:07
88 views",,,1,"['birkapsu', 'birkapmama']"
Adem,@adembuyukgokce,2021-08-07T11:43:25.000Z,"#YANGINVAR 
#birkapsu",,,3,4,"['YANGINVAR', 'birkapsu']"
balatlıponçikkamyoncu,@thekamyoncu,2021-08-06T10:35:48.000Z,#birkapsu özellikle aşırı sıcak dönemde çok daha önemli,"SINIRSIZLAR_PATİ DOSTU
@SINIRSIZPatiler
 · Aug 6
#birkapsu hayat kurtarır, gölge yerlere su bırakalım, su kaplarını sık sık taze suyla dolduralım",1,,2,['birkapsu']
Mehmet ŞEHİT,@mehmetsehit,2021-08-08T13:54:57.000Z,"""Konuşamayan bu hayvanlar hakkında Allah’tan korkun!"" diyen bir Peygamberin ümmetiyiz Elhamdülillah...

Bugün #DünyaKediGünü! 

Farkındalık oluşturmak için sen de #birkapmama ve #birkapsu ile can dostlarımızın yanında olabilirsin! ",,,,2,"['DünyaKediGünü', 'birkapmama', 'birkapsu']"
Baypoy,@baypoyiplik,2021-08-06T13:57:46.000Z,"Hava sıcaklığının arttığı bu günlerde,
kapı ve pencere önüne koyacağımız bir kap su ile
can dostlarımıza bir iyilik yapalım. Onları ihmal etmeyelim.
#haskan #baypoy #birkapsu #hayvansevgisi",,,2,4,"['haskan', 'baypoy', 'birkapsu', 'hayvansevgisi']"
Monet,@aynursenguder,2021-08-12T05:06:07.000Z,"YAŞAM SADECE İNSANLARA AİT DEĞİL, BU KADAR YANGIN VE SEL FELAKETİ İNSANLARA BUNU ÖĞRETEMEDİ. HALA HAYVANLARA ŞİDDET DEVAM ETTİĞİ GİBİ ONLAR İÇİN BIRAKILAN SU VE MAMA KAPLARI DA YİNE BU İKİ AYAKLILAR TARAFINDAN YOK EDİLİYOR. HAYVANLARDAN DEĞİL İNSANLARDAN ZARAR GELİR
#birkapsu",,,,2,['birkapsu']
Siz Bilin Diye,@sizbilindiye,2021-08-11T13:58:41.000Z,Pis bir kedi görürseniz bilin ki günlerdir susuz kalmıştır. Tükürük bezleri çalışmıyordur. #birkapsu,,,,,['birkapsu']
Adem,@adembuyukgokce,2021-08-06T06:20:48.000Z,"Gerçek dostlara selam olsun 
#birkapsu
#birkapmama 
#YANGINVAR ",,3,17,85,"['birkapsu', 'birkapmama', 'YANGINVAR']"
Adem,@adembuyukgokce,2021-08-11T04:36:07.000Z,"Bir kap su 

#birkapsu",,,4,16,['birkapsu']
Arife Baybure,@cide82,2021-08-06T21:27:54.000Z,#sokaktakidostlarımız #birkapsu #birkapmama,,,,4,"['sokaktakidostlarımız', 'birkapsu', 'birkapmama']"
BurcuCrazy Mohikan,@Burjuuu1907,2021-08-09T04:23:02.000Z,"İç İstemem Çalışayım
Ep İsterim Yatayım

Günaydınlar Efenim
ŞansınızTebessümünüz,Sevginiz,
AŞKınızBol Olsun 

#İyikiVarsınBurcu  
#9Ağustos #pazartesi
#iyihaftalar #mutluhaftalar
#birkapmama  #birkapsu #BirKapSuBirKapMama ",,38,11,132,"['İyikiVarsınBurcu', '9Ağustos', 'pazartesi', 'iyihaftalar', 'mutluhaftalar', 'birkapmama', 'birkapsu', 'BirKapSuBirKapMama']"
Semra Buğra,@64BUGRA,2021-08-08T22:45:35.000Z,"Hava çok sıcak ve onlar ne su ne yemek bulamıyor, lütfen sokakta yaşayan dostlarımıza destek olun #BirKapSu #BirKapMama",,,,,"['BirKapSu', 'BirKapMama']"
TIT Innovation,@titinnovation,2021-08-06T13:59:12.000Z,"Hava sıcaklığının arttığı bu günlerde,
kapı ve pencere önüne koyacağımız bir kap su ile
can dostlarımıza bir iyilik yapalım. Onları ihmal etmeyelim.

#haskan #titinnovation #birkapsu #hayvansevgisi",,,,2,"['haskan', 'titinnovation', 'birkapsu', 'hayvansevgisi']"
süreyya,@zoboomafooxt,2021-08-06T06:42:40.000Z,#BirkapSU,"Ali Serçe
@AliSere20
 · Aug 6
Tatlım benim. 
#BirkapSU",1,,2,['BirkapSU']
Deli Gönül,@Gonulkayaa0180,2021-08-06T07:42:49.000Z,"Aşırı pozitif bir video  
#BirKapSu","TÜMYAD
@Tumyad4
 · Aug 6
Sabah derneğin kapısında bizi bekliyordu. Ormanı yanmış sokaklarda su bulamamış hasta olmuş. Çevre sakinleri ""Tümyad sana bakar"" demiş
Mutlu sonlu hikayemiz bir yana, Su Hayattır! Gündem acılarla dolu olsa da onları ihmal etmeyelim. Çünkü susuzluk her canlı için ölümdür.",,,14,['BirKapSu']
Adem,@adembuyukgokce,2021-08-11T04:33:06.000Z,"Onların bizlere ihtiyacı var  

Her kapının önüne #birkapsu",,,5,7,['birkapsu']
𝓜𝓪𝓼𝓪𝓵,@masal__7,2021-08-13T12:19:16.000Z,"Replying to 
@cngz_slck",#BirKapSu #BirKapMama,1,,1,[]
