username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
ESKİŞEHİRLİ,@2Alibaba26,2021-08-12T14:47:56.000Z,"Herkese Hayırlı Huzurlu Akşamlar Olsun...

#perşembe",,,9,44,['perşembe']
hasan İBİŞ,@aloelektrik,2021-08-12T07:39:51.000Z,"Gönlünüzce bir gün olsunn İnşaAllah 

GÜNAYDINN
#Persembe",,,53,87,['Persembe']
KADİRİZM ...,@27Ozturkkadir,2021-08-12T04:27:38.000Z,"Günaydın Hayırlı Sabahlar
Olacakla, öleceğin önüne
geçilmez! Mutlaka yolunu
bulurmuş    #Perşembe",,3,35,295,['Perşembe']
@zişan.krkd..,@zişan.krkd..,2021-08-05T10:42:51.000Z,"..............

memleketimde
                        çiçekler 
             açsa artık .... #perşembe 

         ________________ 

#külkeçisi  ",,,21,133,"['perşembe', 'külkeçisi']"
Aşk-ı Mahşer,@Elifce_34_,2021-08-05T12:56:08.000Z,"Nasıl öfkelenmem Düşündükçe memleketimi Çırpınıyor ayakları altında, bir avuç hergelenin...

...

 Nazım Hikmet

#Persembe",,1,17,207,['Persembe']
moon,@Moon_EA_,2021-08-12T08:14:49.000Z,"Buraya kocaman bir GÜNDIN bırakıyorum 
#Günaydın #Maviyenot #Perşembe",,,3,28,"['Günaydın', 'Maviyenot', 'Perşembe']"
Ayşemmm,@aysemmm_35,2021-08-12T09:24:58.000Z,"""İnsanlık öldü mü? dedim. 
Yok, dedi, ölmedi, ölmedi ama bir yerlerde sıkıştı kaldı herhalde. 
Nerede kaldı acaba?""

Kuşlar da Gitti...

Yaşar Kemal
#perşembe 
@aysemmm_35
 ",,,16,147,['perşembe']
EsRt34,@es_rt34,2021-08-12T04:51:18.000Z,"Günaydın Hayırlı Sabahlar
 Huzurlu Keyifli Bir Gün Diliyorum Herşey Gönlünüzce Olsun 
#Perşembe",,3,58,121,['Perşembe']
Nunu,@gs_nunu1,2021-08-05T07:08:41.000Z,"PayLaşacak FazLa Bir Söz Yok .!

""Gün Umut Getirsin"" 
#Günaydın #HayırlıSabahlar
#Perşembe",,5,16,228,"['Günaydın', 'HayırlıSabahlar', 'Perşembe']"
Cumhuriyet Kadını,@1Kutlu_Turk,2021-08-12T03:01:24.000Z,"""Herkesin aynı yalana inanıyor olması, onu gerçek yapmaz.""

#DemişYazar 
#Perşembe 

Günaydın ",,,20,128,"['DemişYazar', 'Perşembe']"
Hatice,@Haticesbc,2021-08-12T06:51:04.000Z,"#Persembe
Bugünlerde dilime eskilerden kalma bir söz dolanıp duruyor..
""Şam babası"".. üzerine kim alınıyorsa!!",,7,3,95,['Persembe']
Hakiki Tosun Paşa,@bunualinburdan,2021-08-12T17:26:28.000Z,"İşlerinizin yoluna girdiği güzel bir akşam olmasını diliyorum.
#iyiakşamlar 
#persembe",,,,5,"['iyiakşamlar', 'persembe']"
Barış GEZER,@AgustosBocegi21,2021-08-05T14:25:54.000Z,"Replying to 
@AgustosBocegi21","Hamdi Gezmiş, Can Gezmiş ve Can Dündar soluğu Almanya'da bir kafede almışlar.
Gabriele'i kafede bulmuşlar. 60 yaşlarında olan Gabi'yi de heyecan sarmış. Deniz'e yazdığı mektubu uzatmışlar ona. İnanamamış olanlara, Deniz'le yazışmasını hatırlamış ama malesef Deniz'den gelen",1,,13,[]
Barış GEZER,@AgustosBocegi21,2021-08-05T14:25:55.000Z,"mektupları saklamamış. Deniz'e ne olduğunu sormuş ve olanları detaylarıyla öğrenmiş.
İşte o Gabriele...

(Kaynak: Abi Deniz Kitabı)

#DenizGezmiş #Persembe",,,6,21,"['DenizGezmiş', 'Persembe']"
T.C. Mamak Belediyesi,@MamakBelediyesi,2021-08-12T16:03:07.000Z,"Sağlıklı günler dileriz 
 12.08.2021 #perşembe 
#NöbetçiEczane",,,3,14,"['perşembe', 'NöbetçiEczane']"
#EjdeR,@Ha_YaLL_eT,2021-08-12T04:22:17.000Z,"''

Göğsü namus gibidir erkeğin,

Her başa yastık olmaz...

#Günaydın
                  #Perşembe
                                                         ''",,7,41,311,"['Günaydın', 'Perşembe']"
Merve Nur Bilgin,@Fetihnesli27,2021-08-05T09:29:27.000Z,"Herhangi bir şeyi kaybettiğinde elbette vardır onun yerini tutacak.
Ancak Allah'ı kaybettiğinde ise yoktur O' nun yerini tutacak.
/İmran bin Hittan
#Perşembe",,,3,6,['Perşembe']
العروة الوثقى,@_ilim_talebesi_,2021-08-05T13:38:32.000Z,"Beraber keyifli bir kahve içeceğiniz yeğeniniz olsun mesela 
#perşembe",,,,14,['perşembe']
esra,@e_sraaaa,2021-08-12T04:35:04.000Z,"Yeni gün uğurgetirsin hepimize..
Bereket, sağlık, huzur, mutluluk bolca olsun inşaAllah

#Günaydın 
#Persembe  ",,1,2,25,"['Günaydın', 'Persembe']"
Sevtap VAROL,@tigerlillly_,2021-08-12T13:33:35.000Z,"Bazen bir sokak lambasında ararım açılarımı..
#Persembe",,,,29,['Persembe']
ŞahMeran,@sah_merannn,2021-08-12T17:30:27.000Z,"""Daha kötü ne olabilir ki""
Dediğim zaman
Evren resmen show yapmaya başlıyor..

#iyiakşamlar #perşembe",,,,17,"['iyiakşamlar', 'perşembe']"
İLKER ÜNVER,@LKERNVER3,2021-08-12T15:55:02.000Z,"#perşembe
#iyiakşamlar  olsun.

Sevgiyle. ",,4,2,30,"['perşembe', 'iyiakşamlar']"
Mehmet.,@mehmedim_6934,2021-08-12T20:45:40.000Z,"Yarınki güne umutla bak.
Gecenin ne doğuracağını tahmin bile edemezsin!

İyi geceler diliyorum.
#GeceyeNotum 
#Persembe",,,2,45,"['GeceyeNotum', 'Persembe']"
,@rnknr1,2021-08-12T09:13:17.000Z,"İşte benim umutlarım 

#Persembe",,,,5,['Persembe']
özer er,@zerer99395490,2021-08-05T07:57:54.000Z,#Persembe,,,,2,['Persembe']
FİKRİ FİRARDAYIM UYMA BANA..!,@FikriUyma,2021-08-05T09:08:31.000Z,"Biz Büyüdük 
    Ve 
Kirlendi Dünya 
#Perşembe ",,,,35,['Perşembe']
ᗪᕮᑎİᘔ,@Deniz595781001,2021-08-12T13:57:31.000Z,"Zaten vızır vızır olan boğaz trafiğine bedavadan Bi de bu tankerler ekleniyor. Bazı dar yerlerden geçerken manevra sıkıntısı oluyor üstelik, o kadar devasa boyutta ki Allah korusun bir yere çarpsa felaket olur. İnşallah #kanalistanbul biran önce yapılır da kurtuluruz
#perşembe",,1,2,16,"['kanalistanbul', 'perşembe']"
Tutuklu Hastalar,@HastaTutuklular,2021-08-12T07:39:04.000Z,"Yusuf Bilge Tunç’dan iki yıldır hiçbir iz yok ! 

Hüseyin Galip Küçüközyiğit'den 228 gündür haber alınamıyor ! 

NEDEN BULUNMUYOR?

#Persembe","From 
Kaybedilen Hayatlar",,90,55,['Persembe']
Yeşilyurt Belediyesi,@yesilyurtbeltr,2021-08-12T14:56:49.000Z,"12.08.2021 #Perşembe (bugün) nöbetçi eczane listesi.

İhtiyacınız olmaması dileğiyle.",,,2,9,['Perşembe']
Mehmet.,@mehmedim_6934,2021-08-05T19:27:05.000Z,"Hiçbir resim,
Her gün gördüğümüz,
Tabiat tablosu kadar güzel olamaz.?

Geceniz huzurlu olsun.
#GeceyeNotum 
#iyigeceler 
#gününözeti
#Persembe",,,5,84,"['GeceyeNotum', 'iyigeceler', 'gününözeti', 'Persembe']"
ZAFER,@ZAFERR1461_571,2021-08-12T05:57:41.000Z,"#BugünGünlerdenTrabzonspor
Hayr lı huzurlu sağlıklı mutlu sabahlar 
#perşembe ",,8,4,50,"['BugünGünlerdenTrabzonspor', 'perşembe']"
Nickelodeon Türkiye,@NickelodeonTUR,2021-08-12T09:00:07.000Z,Hepsi ayrı bir sanat eseri! #Perşembe,,,,4,['Perşembe']
Eliza,@EsraEliza,2021-08-05T06:56:25.000Z,#Perşembe,,,1,12,['Perşembe']
TESLİME KIZILASLAN USLU,@Polenimm,2021-08-12T13:22:40.000Z,#Persembe,,,,1,['Persembe']
osɐʎ,@_oooppps,2021-08-12T07:11:12.000Z,"Kahveyi içene kadar gözüme herkesin iğrenç bi varlık gibi görünmesi....
#Persembe",,,,3,['Persembe']
N£VA⚘,@123_neva,2021-08-12T11:20:54.000Z,"“Bu dünyanın mükemmel insanlara 
ihtiyacı yok.
Bu dünyanın sevgi dolu insanlara 
ihtiyacı var…”
#perşembe",,11,13,259,['perşembe']
taksi işletmeciliği,@Karabuluthuseyi,2021-08-12T06:05:27.000Z,Günaydın mutlu sabah lar olsun #Persembe,,,,4,['Persembe']
NihaN,@NihaN3589,2021-08-12T15:54:31.000Z,"#Persembe 
#ThursdayMotivation 
#ThursdayThoughts ",,1,2,86,"['Persembe', 'ThursdayMotivation', 'ThursdayThoughts']"
ugur akyalcin,@UAkyalcin,2021-08-12T13:04:53.000Z,Karanlıklar içinde kalan güzellikler daha belirgindir... #perşembe,,,,18,['perşembe']
Gürbüz Ergün,@Ergn_grbz,2021-08-12T06:29:08.000Z,"“Selâmun Aleykûm
Çalışanlar, kötülük düşünmeye vakit bulamazlar. Çalışmayanlar ise kendilerini kötülükten kurtaramazlar.’’ 
(Hz. Ali)

#HayırlıSabahlar
#Perşembe",GIF,6,63,164,"['HayırlıSabahlar', 'Perşembe']"
Rima Kuyumculuk,@RimaJewelry,2021-08-12T13:15:23.000Z,Papatya Kolye  #Perşembe #RimaGümüş,,1,,4,"['Perşembe', 'RimaGümüş']"
Hevî,@heviyamee,2021-08-05T15:58:41.000Z,"""Sevmek, iki defa yaşamaktır.."" 
#Persembe",,,1,3,['Persembe']
Esra Cevik,@EsraCevik__,2021-08-12T12:12:06.000Z,Plaza dilini hiç sevmem ama This is me  mesleki deformasyon yaşıyorum. Push etmekten ve assign etmekten yoruldum. #perşembe,,,,3,['perşembe']
ultrAslan TT,@ultraslantt1,2021-08-12T05:42:54.000Z,"#BugüngünlerdenGALATASARAY

#perşembe",,,8,40,"['BugüngünlerdenGALATASARAY', 'perşembe']"
At@k@nK@r@,At@k@nK@r@,2021-08-12T05:55:49.000Z,"Günaydın,
Mutlu, huzurlu bir gün olsun...
#Persembe","0:06
8 views",,,2,['Persembe']
ORHAN,@metorci,2021-08-12T05:24:15.000Z,"Burada ki son sabah günaydın, hayırlı sabahlar  
#perşembe",,5,,14,['perşembe']
DYG,@chuvstvo34,2021-08-12T05:40:52.000Z,Günaydın  #perşembe,,,,1,['perşembe']
ᗪᕮᑎİᘔ,@Deniz595781001,2021-08-12T06:55:19.000Z,"Kız sen İstanbul'un neresindensin
#günaydın
#perşembe",,11,3,81,"['günaydın', 'perşembe']"
Muhammet Kutsal,@kutsaldoktor,2021-08-12T16:32:28.000Z,"#Persembe #Persembe 
#",,,1,1,"['Persembe', 'Persembe']"
Fatih Çelik,@Fatihvan656521,2021-08-12T03:59:45.000Z,#perşembe,,,1,11,['perşembe']
Mustafa ŞENYURT #AşıOlmayacağım,@Mustafa1SENYURT,2021-08-12T07:58:29.000Z,"""Tıbbi bir SALGIN YOK. Aşı Güvenli DEĞİL""
Dr.Piotr Rubas  Dr.Natalia Prego Cancelo 
Dr.Rashid Buttar Dr.Nour De San Dr.Kelly Brogan 

 #fahrettinkocaistifa #Persembe",,35,664,1.5K,"['fahrettinkocaistifa', 'Persembe']"
Motobike Istanbul,@motobikeist,2021-08-12T12:42:54.000Z,"1920'ler, Londra. #tbt #Persembe #bisiklet #fuar #motobikeistanbul",,,,1,"['tbt', 'Persembe', 'bisiklet', 'fuar', 'motobikeistanbul']"
Bafra Belediyesi #EvdeKal,@Bafrabldtr,2021-08-12T13:00:02.000Z,"Tüm hastalara acil şifalar, tüm eczacılarımıza da iyi nöbetler diliyoruz.

12 AĞUSTOS 2021 #Perşembe Sağlıklı günler dileriz.",,,,1,['Perşembe']
ŞahMeran,@sah_merannn,2021-08-12T14:15:19.000Z,"Titanic batarken çalmaya devam eden orkestra geldi aklıma.. 

#iyiakşamlar #perşembe",,1,1,26,"['iyiakşamlar', 'perşembe']"
Zeynep Erdil Tekiner,@zeynepetekiner,2021-08-12T18:14:58.000Z," Kötülük kendiliğindendir ; iyi olmak ise çaba gerektirir…

#birmasaldıhersey #iyiaksamlar #Persembe",,,,2,"['birmasaldıhersey', 'iyiaksamlar', 'Persembe']"
Meçhul X,@MCHL_3475,2021-08-12T18:04:01.000Z,#Persembe,,,2,2,['Persembe']
𝑀𝑢𝘩𝑎𝑚𝑚𝑒𝑑 𝐺𝑜̈𝑘𝑠𝑢,@mhmmdgks,2021-08-05T07:13:03.000Z,#Persembe,,,,,['Persembe']
M E R T ツ,@Abdi_Aciz_,2021-08-12T07:30:11.000Z,"Neye nerede rastlayacağını asla bilemezsin.
Bazen şatafatın içinde sefil yüreklere, 
bazen de sefaletin içinde asil yüreklere rastlanır.
İyi insanlara denk gelmeniz dileğiyle
Günaydın..
Hayırlı Sabahlar..
 #Persembe",,,63,183,['Persembe']
Sıla Esenler,@e_senler,2021-08-05T20:29:22.000Z,#perşembe gün biter,,,,14,['perşembe']
Sıla Esenler,@e_senler,2021-08-12T20:43:09.000Z,#perşembe,,,,3,['perşembe']
Serap Suzer,@SerapSuzersu,2021-08-12T08:03:48.000Z,"Günaydın/Good morning, 

#İstanbul #gunaydin #Persembe",,2,5,51,"['İstanbul', 'gunaydin', 'Persembe']"
♡⚬ἶῆეἶ⚬♡,@__incii,2021-08-12T13:49:44.000Z,"Bazen...!!!
Ne uzun uzun sohbet etmek... 
Ne iltifatlar duymak... 
Ne de şımarmak istersin... Sadece arayıp 
""Seni özledim"" demesini beklersin...⚬⚬

#Persembe",,1,,16,['Persembe']
Tesettürlü Adam,@AdamTesetturlu,2021-08-12T02:22:09.000Z,"Her şeyi bosverebilirsin ama , 
Kalbinin huzur bulduğu yeri asla boşverme.  Çünkü o huzur sana Her zaman lazım 

Selâmun Aleykûm 
Sabahınız hayr ola ..
#Persembe",,,,11,['Persembe']
̶H̶a̶s̶a̶n ̶A̶K̶I̶N̶C̶I,@hasanakinci76,2021-08-12T08:01:41.000Z,"Günaydın
#günaydın #hayırlısabahlar #Perşembe",,,,105,"['günaydın', 'hayırlısabahlar', 'Perşembe']"
NAZAR,@NAZAR24395431,2021-08-12T05:09:25.000Z,"Belki 3/4 defa paylaşmışımdır:)yine karşıma çıktı yine sesli güldüm 
#perşembe",,1,,21,['perşembe']
Eğitimci,@3785dmrc,2021-08-12T13:19:28.000Z,"#CanYucel 
#perşembe",,,,13,"['CanYucel', 'perşembe']"
𝓗𝓤𝓛𝓨𝓐 ¹⁹⁰⁵,@hulya_k85,2021-08-12T20:36:51.000Z,"Geceniz güzel olsun 

#iyigeceler 
#Persembe",,,,71,"['iyigeceler', 'Persembe']"
BAŞOĞLU KARDEŞLER PİDE ve GÜVEÇ SALONLARI,@Guvec_pde,2021-08-05T17:03:13.000Z,"Başoğlu Kardeşler farkıyla afiyet olsun
#BaşoğluKardeşler #sultangazi #istanbul
#perşembe",,,1,3,"['BaşoğluKardeşler', 'sultangazi', 'istanbul', 'perşembe']"
@dn@n - Siyah-Beyaz Aşk,@dn@n,2021-08-05T09:52:40.000Z,"Sakaryadan günaydınlar cümleten...
#Günaydın 
#Persembe",,,,12,"['Günaydın', 'Persembe']"
Cihat CEYLAN,@cihatceylan,2021-08-12T15:09:04.000Z,"ülkemiz de son zamanda yaşanan orman yangınlarının toplumda farkındalık oluşturmak, önlem almak ve zararları konusunda bilgi sahibi olmalarını sağlamak amacıyla resim yarışması düzenlenmiştir. Yarışma birincimiz Arife'yi tebrik eder başarılarının devamını dilerim...
#Persembe",,,,1,['Persembe']
Selin,@selindiyo,2021-08-12T19:14:22.000Z,#Persembe,,,,1,['Persembe']
özqe,@kahvekavanozu,2021-08-05T14:56:09.000Z,"#perşembe
Bu ben olabilirim..",,,,3,['perşembe']
Ateş TV Diziler,@Atessenyuz2013,2021-08-12T17:07:29.000Z,"Tv de bu akşam 
#KazaraAşk #Perşembe #seksenler",,,1,8,"['KazaraAşk', 'Perşembe', 'seksenler']"
Gsklbk,@Gsklbk,2021-08-05T07:27:19.000Z,"Günaydı mı 
#perşembe",,,,1,['perşembe']
Erdal,@erdallisiktasl,2021-08-12T06:43:17.000Z,Tatile son 2 kala..ofiste son çaylar.. #günaydın #perşembe,,,,3,"['günaydın', 'perşembe']"
Sahte Kahramanlar,@SahteKahraman10,2021-08-05T07:40:56.000Z,"2019 yılında grip, zatürre v.b. hastalıklardan ölen kişi sayısı 52.568
corona gribinden! ölen Toplam kişi sayısı 17.851
bu rakamlara göre corona salgın hastalık değildir!!!
Korona Yalan Salgın Yok

 #SorumluOlan Somali'ye 30 #Persembe Eray Şamdan Resmi Gazete'de Haluk Levent",,1,23,27,"['SorumluOlan', 'Persembe']"
NAZMİYE YILDIRIM ERCİYAS,@sevginazo,2021-08-12T11:10:50.000Z,#Persembe,,,,2,['Persembe']
müberra,@MberraUur,2021-08-12T14:18:20.000Z,Geçmiş olsun canım memleketim. #afet #kastamonu #sel #perşembe,,,,1,"['afet', 'kastamonu', 'sel', 'perşembe']"
Last Point,@aryilmz,2021-08-12T05:41:55.000Z,"Günaydın.. 

#Persembe",,1,,16,['Persembe']
OSMANLI SARI,@_Saklamento_1,2021-08-05T21:26:57.000Z,"#Persembe 

Bakın gidin Amerika’dan Çin’e kadar araştırın; 

İSLÂM'ın en amansız düşmanları TÜRKİYE  Cumhuriyeti’ndedir. 

En yamanları burada. 

TÜRKİYE’deki İSLÂM düşmanları dünyanın hiçbir yerinde yoktur!

#Osmanlısarı",,2,202,239,"['Persembe', 'Osmanlısarı']"
°°° AySuN/n °°°,@SeSsizMeLodi_,2021-08-05T07:29:23.000Z,"Senin İçin Dün Geçmiştir, 
Bir Daha Geri GeLmez..
Yarın İse Kesin DeğiLdir.
O HaLde Bu Dem,dir.!
İçinde BuLunduğun Anı İyi DeğerLendir..!


#günaydın
#perşembe",,10,122,360,"['günaydın', 'perşembe']"
F. B£tüL,@fbetulylmz53,2021-08-12T15:28:56.000Z,"Mis gibi kahve kokusu
Filmde var 
Aa bide yağmur yağıyor 
Ve tabiki balkondayım
#perşembe",,2,,12,['perşembe']
Özgür,@ozgur_srk,2021-08-12T17:38:27.000Z,#dolar #simitçi #perşembe,,,,1,"['dolar', 'simitçi', 'perşembe']"
Sevcan,@Sevcan55096398,2021-08-12T13:35:12.000Z,"Alooo bilmem anlatabildik mi?
#perşembe",,1,,4,['perşembe']
Gül Öğrtmn,@orgucuogrtmn_1,2021-08-12T17:09:48.000Z,"Hayırlı akşamlar. Runnerımızın motifleri yavaş yavaş hazırlanıyorken bir poz verelim :)
Sipariş ve bilgi için dm den iletişime gecebilirsiniz. Rt ve beğeni ile destek olursanız sevinirim arkadaşlar.
#Persembe
#akşam",,2,40,42,"['Persembe', 'akşam']"
ERZURUM ÜVEYSLERİ,@uveysleri,2021-08-05T12:58:47.000Z,Zikir ile kainatı ve kainatı yaratan Allah’ın hakikatini kalben keyfetmeye başlayabilirsin. AŞK-I ÜVEYSİ 1 #Persembe,,,2,12,['Persembe']
Gülay Pınarbaşı #GodExists,@_GulayPinarbasi,2021-08-12T18:36:21.000Z,"Onlar, Rablerine karşı gayb ile (O’nu görmedikleri halde) bir haşyet içindedirler ve onlar, kıyamet saatinden ’içleri titremekte olanlardır.’ (Enbiya Suresi 49. Ayet) #sevgi #Allah #Persembe",,,2,11,"['sevgi', 'Allah', 'Persembe']"
Dilek,@krdileek,2021-08-12T19:33:49.000Z,"""Ahh #İstanbul İstanbul olalı""..
Çok güzelsin..  

#iyigeceler  #Persembe",,1,1,23,"['İstanbul', 'iyigeceler', 'Persembe']"
Yanii,@ATLLAAKGL,2021-08-05T07:23:20.000Z,#Persembe,,,1,1,['Persembe']
yyakamoz,@yyakamoz2,2021-08-05T18:13:24.000Z,Bi soğuk kahve #persembe,,,,4,['persembe']
Ugur,@herbalifeUGUR,2021-08-12T07:45:42.000Z,"""THE SECRET"" evrenin sırrını çözdünüz mu, yoksa hala olumsuzluklardan sıkılıyor şikayet mi ediyorsunuz...?
#Persembe #evreninsirri #thesecret",,,,3,"['Persembe', 'evreninsirri', 'thesecret']"
E.Ç,@trakkyali,2021-08-05T11:35:30.000Z,Bu sıcakta iş mi olur ya  #tekirdağ #perşembe,,,,,"['tekirdağ', 'perşembe']"
Elif,@terazi_venus,2021-08-12T11:00:57.000Z,Şaka gibi ama gerçek... #eğitim #perşembe,,,,,"['eğitim', 'perşembe']"
Rümeysa,@alboradooo,2021-08-12T16:39:46.000Z,Fleet kaldırılırsa bende tweet atarım. #Persembe,"0:10
17 views",,,2,['Persembe']
